 TITLE = "Post Processing Tecplot"
 VARIABLES = "X", "Y", "U"
 ZONE T="BIG ZONE", I=           9 , J=           9 , DATAPACKING=POINT
   0.00000000       0.00000000       0.00000000    
  0.785398185       0.00000000       1.00000000    
   1.57079637       0.00000000      -8.74227766E-08
   2.35619450       0.00000000      -1.00000000    
   3.14159274       0.00000000       1.74845553E-07
   3.92699099       0.00000000       1.00000000    
   4.71238899       0.00000000      -2.38497613E-08
   5.49778748       0.00000000      -1.00000000    
   6.28318548       0.00000000       0.00000000    
   0.00000000      0.785398185       1.00000000    
  0.785398185      0.785398185      0.583720148    
   1.57079637      0.785398185      0.150318921    
   2.35619450      0.785398185     -0.285856426    
   3.14159274      0.785398185       6.08905554E-02
   3.92699099      0.785398185      0.491216302    
   4.71238899      0.785398185      0.147331744    
   5.49778748      0.785398185     -0.148976281    
   6.28318548      0.785398185       0.00000000    
   0.00000000       1.57079637      -8.74227766E-08
  0.785398185       1.57079637       4.48800512E-02
   1.57079637       1.57079637      -8.92019048E-02
   2.35619450       1.57079637     -0.119278848    
   3.14159274       1.57079637      0.145627990    
   3.92699099       1.57079637      0.296808809    
   4.71238899       1.57079637      0.286188304    
   5.49778748       1.57079637       9.32253003E-02
   6.28318548       1.57079637       0.00000000    
   0.00000000       2.35619450      -1.00000000    
  0.785398185       2.35619450     -0.295449197    
   1.57079637       2.35619450     -0.203298926    
   2.35619450       2.35619450      -2.21700370E-02
   3.14159274       2.35619450      0.143957138    
   3.92699099       2.35619450      0.298734307    
   4.71238899       2.35619450      0.280417085    
   5.49778748       2.35619450      0.116236210    
   6.28318548       2.35619450       0.00000000    
   0.00000000       3.14159274       1.74845553E-07
  0.785398185       3.14159274     -0.110499918    
   1.57079637       3.14159274      -2.18558609E-02
   2.35619450       3.14159274       2.37323493E-02
   3.14159274       3.14159274      0.219860092    
   3.92699099       3.14159274      0.238337681    
   4.71238899       3.14159274      0.163890034    
   5.49778748       3.14159274      0.105124228    
   6.28318548       3.14159274       0.00000000    
   0.00000000       3.92699099       1.00000000    
  0.785398185       3.92699099      0.267455071    
   1.57079637       3.92699099      0.105692253    
   2.35619450       3.92699099      0.215397567    
   3.14159274       3.92699099      0.134737253    
   3.92699099       3.92699099       6.23839647E-02
   4.71238899       3.92699099      0.147062719    
   5.49778748       3.92699099       3.31120715E-02
   6.28318548       3.92699099       0.00000000    
   0.00000000       4.71238899      -2.38497613E-08
  0.785398185       4.71238899       7.56444782E-02
   1.57079637       4.71238899      0.140954986    
   2.35619450       4.71238899       7.62826502E-02
   3.14159274       4.71238899      -3.63725945E-02
   3.92699099       4.71238899       7.62029141E-02
   4.71238899       4.71238899      -9.25147533E-03
   5.49778748       4.71238899      -1.03018284E-02
   6.28318548       4.71238899       0.00000000    
   0.00000000       5.49778748      -1.00000000    
  0.785398185       5.49778748     -0.218152180    
   1.57079637       5.49778748      -2.46026702E-02
   2.35619450       5.49778748      -3.39470655E-02
   3.14159274       5.49778748      -3.28141451E-03
   3.92699099       5.49778748      -1.69028267E-02
   4.71238899       5.49778748      -2.28055567E-02
   5.49778748       5.49778748      -8.27684626E-03
   6.28318548       5.49778748       0.00000000    
   0.00000000       6.28318548       3.49691106E-07
  0.785398185       6.28318548       0.00000000    
   1.57079637       6.28318548       0.00000000    
   2.35619450       6.28318548       0.00000000    
   3.14159274       6.28318548       0.00000000    
   3.92699099       6.28318548       0.00000000    
   4.71238899       6.28318548       0.00000000    
   5.49778748       6.28318548       0.00000000    
   6.28318548       6.28318548       0.00000000    
