 nx =           64  ny =           64  Solver = Multigrid, Smoother =            1
 Iteration        Residual
           0   142.830170    
           1   103.210922    
           2   78.3048172    
           3   60.6235199    
           4   48.1432495    
           5   38.5690193    
           6   31.1494274    
           7   25.4431782    
           8   20.8231068    
           9   17.1274452    
          10   14.1794901    
          11   11.7568178    
          12   9.74427986    
          13   8.11945248    
          14   6.76471853    
          15   5.63772392    
          16   4.70893717    
          17   3.93290281    
          18   3.28700590    
          19   2.74598837    
          20   2.29588532    
          21   1.92541981    
          22   1.61187565    
          23   1.35019052    
          24   1.13235223    
          25  0.949978471    
          26  0.797925711    
          27  0.669701934    
          28  0.562023222    
          29  0.472523153    
          30  0.396637768    
          31  0.334264755    
          32  0.281226307    
          33  0.236822873    
          34  0.199642718    
          35  0.168094754    
          36  0.141828999    
          37  0.119731948    
          38  0.101089090    
          39   8.53196532E-02
          40   7.19593763E-02
          41   6.06742986E-02
          42   5.11174724E-02
          43   4.30387519E-02
          44   3.62440944E-02
          45   3.05137485E-02
          46   2.56960355E-02
          47   2.16378663E-02
          48   1.82359628E-02
          49   1.53753338E-02
          50   1.29740564E-02
          51   1.09427068E-02
          52   9.22879390E-03
          53   7.79143814E-03
          54   6.58137491E-03
          55   5.56612760E-03
          56   4.70470963E-03
          57   3.97589710E-03
          58   3.35472380E-03
          59   2.83537060E-03
          60   2.39489344E-03
          61   2.01953668E-03
          62   1.70245650E-03
          63   1.43301056E-03
          64   1.20576378E-03
          65   1.01520750E-03
          66   8.52569065E-04
          67   7.15816743E-04
          68   6.01149222E-04
          69   5.03495219E-04
          70   4.21996810E-04
          71   3.53519979E-04
          72   2.95819365E-04
          73   2.48044555E-04
          74   2.08253550E-04
          75   1.75137073E-04
          76   1.47724320E-04
          77   1.24597500E-04
          78   1.05436302E-04
          79   8.92338940E-05
          80   7.56026056E-05
          81   6.41256484E-05
          82   5.43793867E-05
          83   4.63236647E-05
          84   3.95362513E-05
          85   3.37094680E-05
          86   2.88942356E-05
          87   2.48164997E-05
          88   2.12737777E-05
          89   1.82239692E-05
          90   1.58572857E-05
          91   1.36573772E-05
          92   1.16859319E-05
          93   9.91955221E-06
          94   8.64230333E-06
          95   7.36830316E-06
          96   6.41641054E-06
          97   5.59298542E-06
          98   4.90104549E-06

 Elapsed time =    7.10400008E-03
