 nx =           64  ny =           64  Solver = Multigrid, Smoother =            1
 Iteration        Residual
           0   74.0344849    
           1   31.0859261    
           2   14.0224876    
           3   6.52323866    
           4   3.09312177    
           5   1.48975110    
           6  0.725797713    
           7  0.355039656    
           8  0.174555823    
           9   8.62412080E-02
          10   4.27703001E-02
          11   2.12588441E-02
          12   1.06042316E-02
          13   5.31040411E-03
          14   2.66267662E-03
          15   1.33720192E-03
          16   6.72858790E-04
          17   3.39984836E-04
          18   1.73275621E-04
          19   8.97161663E-05
          20   4.80454619E-05
          21   2.75481816E-05
          22   1.78895734E-05
          23   1.32653222E-05
          24   1.05946510E-05
          25   8.74417856E-06
          26   7.23604808E-06
          27   6.02349428E-06
          28   5.08346557E-06
          29   4.29427973E-06
          30   3.59840647E-06
          31   3.05583171E-06
          32   2.66346774E-06
          33   2.21896357E-06
          34   1.95033817E-06
          35   1.72799787E-06
          36   1.50983556E-06
          37   1.39883423E-06
          38   1.22871563E-06
          39   1.10492999E-06
          40   1.06382436E-06
          41   1.01575245E-06
          42   9.11711595E-07

